id,datetime,upserted_rows
43653,1712734535840,0
43654,1712734835840,0
43655,1712735135833,0
43656,1712735435841,0
43657,1712735735835,0
43658,1712736035827,0
43659,1712736335721,0
43660,1712736635837,0
43661,1712736935843,0
43662,1712737235829,0
43663,1712737535842,0
43664,1712737835838,0
43665,1712738135841,0
43666,1712738435840,0
43667,1712738735836,0
43668,1712739035836,0
43669,1712739335831,0
43670,1712739635829,0
43671,1712739935830,0
43672,1712740235835,0
43673,1712740535843,0
43674,1712740835827,0
43675,1712741135830,0
43676,1712741435837,0
43677,1712741735840,0
43678,1712742035834,0
43679,1712742335829,0
43680,1712742635837,0
43681,1712742935836,0
43682,1712743235855,0
43683,1712743535830,0
43684,1712743835830,0
43685,1712744135833,0
43686,1712744435838,0
43687,1712744735847,0
43688,1712745035833,0
43689,1712745335829,0
43690,1712745635825,0
43691,1712745935834,0
43692,1712746235715,0
43693,1712746535822,0
43694,1712746835837,0
43695,1712747135837,0
43696,1712747435821,0
43697,1712747735828,0
43698,1712748035840,0
43699,1712748335826,0
43700,1712748635835,0
43701,1712748935922,0
43702,1712749235836,0
43703,1712749535831,0
43704,1712749835819,0
43705,1712750135840,0
43706,1712750435822,0
43707,1712750735839,0
43708,1712751035718,0
43709,1712751335833,0
43710,1712751635833,0
43711,1712751935836,0
43712,1712752235965,0
43713,1712752535964,0
43714,1712752835945,0
43715,1712753135956,0
43716,1712753435962,0
43717,1712753735822,0
43718,1712754035833,0
43719,1712754335822,0
43720,1712754635826,0
43721,1712754935830,0
43722,1712755235715,0
43723,1712755535829,0
43724,1712755835823,0
43725,1712756135824,0
43726,1712756435831,0
43727,1712756735724,0
43728,1712757035841,0
43729,1712757335832,0
43730,1712757635829,0
43731,1712757935827,0
43732,1712758235830,0
43733,1712758535838,0
43734,1712758835838,0
43735,1712759135840,0
43736,1712759435959,0
43737,1712759735957,0
43738,1712760035967,0
43739,1712760336084,0
43740,1712760636092,0
43741,1712760935999,0
43742,1712761235828,0
43743,1712761535834,0
43744,1712761835821,0
43745,1712762136017,0
43746,1712762435871,0
43747,1712762735837,0
43748,1712763035829,0
43749,1712763335835,0
43750,1712763635839,0
43751,1712763935865,0
43752,1712764235843,0
43753,1712764535834,0
43754,1712764835839,0
43755,1712765135866,0
43756,1712765435840,0
43757,1712765735830,0
43758,1712766035842,0
43759,1712766335837,0
43760,1712766635842,0
43761,1712766935727,0
43762,1712767235837,0
43763,1712767535839,0
43764,1712767835831,0
43765,1712768135828,0
43766,1712768435931,0
43767,1712768735828,0
43768,1712769035826,0
43769,1712769335975,0
43770,1712769635977,0
43771,1712769935969,0
43772,1712770235966,0
43773,1712770535969,0
43774,1712770835973,0
43775,1712771135972,0
43776,1712771435840,0
43777,1712771735786,0
43778,1712772035855,0
43779,1712772335834,0
43780,1712772635847,0
43781,1712772935830,0
43782,1712773235832,0
43783,1712773535823,0
43784,1712773835849,0
43785,1712774135831,0
43786,1712774435829,0
43787,1712774735830,0
43788,1712775035824,0
43789,1712775335846,0
43790,1712775635831,0
43791,1712775935716,0
43792,1712776235835,0
43793,1712776535850,0
43794,1712776835834,0
43795,1712777135719,0
43796,1712777435845,0
43797,1712777735832,0
43798,1712778035835,0
43799,1712778335825,0
43800,1712778635818,0
43801,1712778935835,0
43802,1712779235843,0
43803,1712779535842,0
43804,1712779835827,0
43805,1712780135831,0
43806,1712780435843,0
43807,1712780735840,0
43808,1712781035828,0
43809,1712781335833,0
43810,1712781635826,0
43811,1712781935837,0
43812,1712782235842,0
43813,1712782535834,0
43814,1712782835846,0
43815,1712783135852,0
43816,1712783435832,0
43817,1712783735832,0
43818,1712784035846,0
43819,1712784335862,0
43820,1712784635828,0
43821,1712784935840,0
43822,1712785235832,0
43823,1712785535830,0
43824,1712785835836,0
43825,1712786135731,0
43826,1712786435837,0
43827,1712786735836,0
43828,1712787035831,0
43829,1712787335712,0
43830,1712787635815,0
43831,1712787935841,0
43832,1712788235831,0
43833,1712788535836,0
43834,1712788835830,0
43835,1712789135838,0
43836,1712789435838,0
43837,1712789735842,0
43838,1712790035836,0
43839,1712790335841,0
43840,1712790635836,0
43841,1712790935851,0
43842,1712791235836,0
43843,1712791535831,0
43844,1712791835833,0
43845,1712792135828,0
43846,1712792435830,0
43847,1712792735825,0
43848,1712793035843,0
43849,1712793335852,0
43850,1712793635850,0
43851,1712793935840,0
43852,1712794235830,0
43853,1712794535837,0
43854,1712794835843,0
43855,1712795135832,0
43856,1712795435835,0
43857,1712795735884,0
43858,1712796035821,0
43859,1712796335723,0
43860,1712796635832,0
43861,1712796935838,0
43862,1712797235829,0
43863,1712797535845,0
43864,1712797835709,0
43865,1712798135848,0
43866,1712798435841,0
43867,1712798735833,0
43868,1712799035839,0
43869,1712799335834,0
43870,1712799635841,0
43871,1712799935830,0
43872,1712800235834,0
43873,1712800535840,0
43874,1712800835939,1
43875,1712801135968,0
43876,1712801435980,0
43877,1712801735975,0
43878,1712802035982,0
43879,1712802335986,0
43880,1712802635980,0
43881,1712802935979,0
43882,1712803235968,0
43883,1712803535960,0
43884,1712803835986,0
43885,1712804135986,0
43886,1712804435985,0
43887,1712804735979,0
43888,1712805035957,0
43889,1712805335976,0
43890,1712805635977,0
43891,1712805936098,0
43892,1712806235976,0
43893,1712806535974,0
43894,1712806835986,0
43895,1712807135984,0
43896,1712807435975,0
43897,1712807736155,0
43898,1712808035903,0
43899,1712808335980,0
43900,1712808635985,0
43901,1712808936009,0
43902,1712809235978,0
43903,1712809535981,0
43904,1712809835983,0
43905,1712810135973,0
43906,1712810435980,0
43907,1712810735994,0
43908,1712811035978,0
43909,1712811335978,0
43910,1712811635990,0
43911,1712811935985,0
43912,1712812235995,0
43913,1712812535979,0
43914,1712812835954,0
43915,1712813135993,0
43916,1712813435996,0
43917,1712813735987,0
43918,1712814035994,0
43919,1712814335988,0
43920,1712814635983,0
43921,1712814935962,0
43922,1712815235990,0
43923,1712815535990,0
43924,1712815835985,0
43925,1712816135972,0
43926,1712816435982,0
43927,1712816735980,0
43928,1712817035992,0
